[ 245.5  616. ]
[ 289.30601093  461.7431694 ]
[ 157.7989418   301.69312169]
[ 213.57487923  184.21256039]
[ 618.44827586  362.70689655]
[ 426.70689655   83.55172414]
[ 487.22764228   68.17886179]
[ 188.23671498  358.01932367]
[ 397.22695035  143.16312057]
[ 311.2020202  503.5959596]
[ 409.          671.53333333]
[ 671.32916667  481.8375    ]
[ 283.96296296  435.55026455]
[ 598.2625  340.325 ]
[ 288.72857143  492.47142857]
[ 526.87830688  582.38624339]
[ 300.85858586  470.77272727]
[ 145.39613527  308.9178744 ]
[ 214.51690821  171.0821256 ]
[ 604.73333333  370.24242424]
[ 410.96598639   72.2585034 ]
[ 470.46666667   70.07619048]
[ 180.48484848  374.70562771]
[ 387.78947368  137.55263158]
[ 321.18666667  511.2       ]
[ 398.17391304  667.45652174]
[ 676.44855967  465.14403292]
[ 273.17748918  445.56709957]
[ 597.21461187  337.40182648]
[ 276.07960199  503.43781095]
[ 526.25862069  593.4137931 ]
[ 309.65625  481.8125 ]
[ 134.03030303  310.86363636]
[ 221.67195767  167.86243386]
[ 588.22413793  374.43103448]
[ 411.53459119   63.49685535]
[ 463.27659574   59.65957447]
[ 171.          388.33783784]
[ 374.58695652  132.70289855]
[ 323.39102564  526.21153846]
[ 392.38461538  656.44230769]
[ 669.03125  453.84375]
[ 257.77619048  453.3       ]
[ 588.          337.55714286]
[ 267.13513514  518.65765766]
[ 521.71014493  595.25362319]
[ 316.21890547  493.27860697]
[ 124.13930348  308.37810945]
[ 230.7037037   176.68518519]
[ 571.90849673  372.99346405]
[ 415.2875817    58.64052288]
[ 451.52525253   61.41414141]
[ 162.4978903   397.35864979]
[ 364.39455782  126.03401361]
[ 323.63945578  542.49659864]
[ 388.02614379  647.58169935]
[ 658.98571429  438.37142857]
[ 243.5399061   448.10328638]
[ 571.51470588  342.44117647]
[ 261.37899543  533.78538813]
[ 521.16296296  594.8962963 ]
[ 319.6010929   506.16939891]
[ 112.29100529  311.31216931]
[ 244.48611111  187.18055556]
[ 557.4516129   366.53225806]
[ 415.69281046   57.08496732]
[ 436.37037037   61.31851852]
[ 166.68599034  407.79227053]
[ 354.33333333  119.53900709]
[ 322.46099291  558.0141844 ]
[ 391.44444444  638.24183007]
[ 652.68888889  422.23555556]
[ 230.41545894  444.33816425]
[ 552.3625731   346.77777778]
[ 264.34972678  549.67759563]
[ 524.38095238  591.21768707]
[ 314.5258216   511.23004695]
[ 100.12121212  311.31818182]
[ 257.8125      198.39583333]
[ 545.22413793  362.26436782]
[ 424.125        63.41666667]
[ 407.27350427   69.01709402]
[ 167.75757576  423.25541126]
[ 350.53571429  110.28571429]
[ 325.65  569.65]
[ 399.86666667  631.52121212]
[ 654.23423423  405.02702703]
[ 217.   436.5]
[ 532.92090395  347.48022599]
[ 269.64480874  564.73224044]
[ 524.6462585   591.57823129]
[ 304.3681592   520.56218905]
[  98.02857143  315.82857143]
[ 269.55555556  212.00653595]
[ 533.91812865  362.74853801]
[ 415.26923077   64.03846154]
[ 401.66666667   71.10077519]
[ 164.98067633  438.96618357]
[ 346.96153846   97.26923077]
[ 322.5952381   582.30952381]
[ 413.77586207  626.56896552]
[ 659.19736842  389.07894737]
[ 203.48717949  423.34871795]
[ 520.35680751  342.71361502]
[ 277.01724138  576.37931034]
[ 525.61187215  591.55707763]
[ 292.68055556  528.36111111]
[  89.5  330. ]
[ 281.53594771  224.58169935]
[ 519.91515152  359.84242424]
[ 408.21818182   65.28484848]
[ 417.98076923   64.28205128]
[ 164.08108108  454.36936937]
[ 340.45578231   89.31972789]
[ 315.37606838  594.2991453 ]
[ 429.0141844   630.53900709]
[ 666.0875  376.5875]
[ 195.47058824  407.70588235]
[ 513.46568627  339.5       ]
[ 283.70689655  591.        ]
[ 525.25821596  592.04225352]
[ 280.68544601  536.70892019]
[  78.26570048  342.25120773]
[ 293.15217391  238.08695652]
[ 514.85990338  350.78743961]
[ 405.09259259   61.25925926]
[ 416.66666667   64.18055556]
[ 161.41777778  467.80888889]
[ 336.46783626   82.53216374]
[ 306.2952381   603.80952381]
[ 439.47798742  640.08805031]
[ 673.66666667  374.28138528]
[ 192.5  392.5]
[ 496.5480226   337.39548023]
[ 293.4691358  592.5      ]
[ 524.55050505  591.95454545]
[ 269.78787879  541.07575758]
[  78.97435897  342.1965812 ]
[ 300.16666667  256.25      ]
[ 513.32275132  349.8994709 ]
[ 405.19774011   60.99435028]
[ 412.81560284   54.33333333]
[ 165.95897436  475.62564103]
[ 337.43888889   71.4       ]
[ 305.61111111  604.22222222]
[ 448.    652.64]
[ 678.3372093   382.45348837]
[ 194.53448276  378.62068966]
[ 478.20689655  331.15517241]
[ 300.61111111  587.07407407]
[ 527.81481481  586.59259259]
[ 257.59393939  544.33333333]
[  87.83333333  352.9047619 ]
[ 301.66025641  274.5       ]
[ 516.46875  342.65625]
[ 405.14285714   61.28571429]
[ 401.56818182   44.59090909]
[ 171.84079602  486.36318408]
[ 338.11309524   69.73214286]
[ 304.68333333  612.575     ]
[ 457.          662.81481481]
[ 682.00803213  388.88353414]
[ 196.87931034  364.82758621]
[ 459.19487179  321.73333333]
[ 311.36206897  584.79310345]
[ 543.01169591  579.60233918]
[ 248.31531532  542.91891892]
[  95.60606061  370.02164502]
[ 297.86111111  291.86666667]
[ 524.5      327.09375]
[ 405.18965517   61.34482759]
[ 396.17610063   43.59748428]
[ 177.69406393  497.02283105]
[ 336.2248062    72.15503876]
[ 304.   627.5]
[ 458.53571429  673.375     ]
[ 681.91666667  388.78571429]
[ 204.11538462  359.53846154]
[ 447.01041667  310.08333333]
[ 321.75816993  585.58169935]
[ 559.90322581  571.62903226]
[ 240.47297297  535.33783784]
[  97.   387.5]
[ 290.01470588  307.85294118]
[ 535.328125    310.05208333]
[ 405.16352201   61.46540881]
[ 384.7030303    50.48484848]
[ 181.10822511  510.91774892]
[ 333.29824561   77.80701754]
[ 307.01801802  640.79279279]
[ 453.97916667  682.875     ]
[ 676.48587571  391.06214689]
[ 219.08333333  362.45833333]
[ 433.34375  297.625  ]
[ 325.95321637  574.16374269]
[ 575.62068966  562.5       ]
[ 234.60606061  528.01515152]
[  93.47619048  403.53571429]
[ 280.18137255  323.80882353]
[ 548.48022599  296.98870056]
[ 404.94871795   61.83333333]
[ 364.10884354   52.39455782]
[ 180.88157895  521.84210526]
[ 333.32222222   86.85      ]
[ 309.70940171  654.18803419]
[ 441.77037037  693.21481481]
[ 659.88888889  402.09777778]
[ 226.0070922   370.58865248]
[ 424.03589744  283.37948718]
[ 337.97814208  567.93989071]
[ 590.03448276  552.67241379]
[ 236.36296296  518.45185185]
[  99.23694779  416.02008032]
[ 267.78378378  336.48648649]
[ 563.62424242  286.73333333]
[ 403.98449612   60.62015504]
[ 356.98830409   51.83040936]
[ 184.24102564  529.47179487]
[ 332.40625  102.625  ]
[ 320.21428571  659.57142857]
[ 428.94444444  699.38888889]
[ 643.63541667  413.80729167]
[ 227.5  383.5]
[ 420.37853107  265.94350282]
[ 351.65384615  565.66025641]
