0 [ 245.5  616. ]
14 [ 417.42857143  148.71428571]
0 [ 285.68027211  496.43537415]
1 [ 440.29059829  667.39316239]
2 [ 677.54982818  507.24054983]
3 [ 296.93607306  435.76255708]
4 [ 594.42690058  334.25730994]
5 [ 286.64676617  475.76616915]
6 [ 543.22051282  553.08205128]
7 [ 276.34825871  458.72139303]
8 [ 172.64285714  296.28571429]
9 [ 206.125   199.4375]
10 [ 630.203125  349.828125]
11 [ 439.14285714   98.53571429]
12 [ 500.   59.]
13 [ 192.88888889  340.66666667]
14 [ 408.25925926  145.2345679 ]
0 [ 298.33333333  502.83809524]
1 [ 424.625  670.5  ]
2 [ 673.52941176  499.85294118]
3 [ 296.26470588  435.56372549]
4 [ 598.31455399  339.70892019]
5 [ 290.58937198  488.51207729]
6 [ 535.87431694  567.66120219]
7 [ 289.30601093  461.7431694 ]
8 [ 157.7989418   301.69312169]
9 [ 213.57487923  184.21256039]
10 [ 618.44827586  362.70689655]
11 [ 426.70689655   83.55172414]
12 [ 487.22764228   68.17886179]
13 [ 188.23671498  358.01932367]
14 [ 397.22695035  143.16312057]
0 [ 311.2020202  503.5959596]
1 [ 409.          671.53333333]
2 [ 671.32916667  481.8375    ]
3 [ 283.96296296  435.55026455]
4 [ 598.2625  340.325 ]
5 [ 288.72857143  492.47142857]
6 [ 526.87830688  582.38624339]
7 [ 300.85858586  470.77272727]
8 [ 145.39613527  308.9178744 ]
9 [ 214.51690821  171.0821256 ]
10 [ 604.73333333  370.24242424]
11 [ 410.96598639   72.2585034 ]
12 [ 470.46666667   70.07619048]
13 [ 180.48484848  374.70562771]
14 [ 387.78947368  137.55263158]
0 [ 321.18666667  511.2       ]
1 [ 398.17391304  667.45652174]
2 [ 676.44855967  465.14403292]
3 [ 273.17748918  445.56709957]
4 [ 597.21461187  337.40182648]
5 [ 276.07960199  503.43781095]
6 [ 526.25862069  593.4137931 ]
7 [ 309.65625  481.8125 ]
8 [ 134.03030303  310.86363636]
9 [ 221.67195767  167.86243386]
10 [ 588.22413793  374.43103448]
11 [ 411.53459119   63.49685535]
12 [ 463.27659574   59.65957447]
13 [ 171.          388.33783784]
14 [ 374.58695652  132.70289855]
0 [ 323.39102564  526.21153846]
1 [ 392.38461538  656.44230769]
2 [ 669.03125  453.84375]
3 [ 257.77619048  453.3       ]
4 [ 588.          337.55714286]
5 [ 267.13513514  518.65765766]
6 [ 521.71014493  595.25362319]
7 [ 316.21890547  493.27860697]
8 [ 124.13930348  308.37810945]
9 [ 230.7037037   176.68518519]
10 [ 571.90849673  372.99346405]
11 [ 415.2875817    58.64052288]
12 [ 451.52525253   61.41414141]
13 [ 162.4978903   397.35864979]
14 [ 364.39455782  126.03401361]
0 [ 323.63945578  542.49659864]
1 [ 388.02614379  647.58169935]
2 [ 658.98571429  438.37142857]
3 [ 243.5399061   448.10328638]
4 [ 571.51470588  342.44117647]
5 [ 261.37899543  533.78538813]
6 [ 521.16296296  594.8962963 ]
7 [ 319.6010929   506.16939891]
8 [ 112.29100529  311.31216931]
9 [ 244.48611111  187.18055556]
10 [ 557.4516129   366.53225806]
11 [ 415.69281046   57.08496732]
12 [ 436.37037037   61.31851852]
13 [ 166.68599034  407.79227053]
14 [ 354.33333333  119.53900709]
0 [ 322.46099291  558.0141844 ]
1 [ 391.44444444  638.24183007]
2 [ 652.68888889  422.23555556]
3 [ 230.41545894  444.33816425]
4 [ 552.3625731   346.77777778]
5 [ 264.34972678  549.67759563]
6 [ 524.38095238  591.21768707]
7 [ 314.5258216   511.23004695]
8 [ 100.12121212  311.31818182]
9 [ 257.8125      198.39583333]
10 [ 545.22413793  362.26436782]
11 [ 424.125        63.41666667]
12 [ 407.27350427   69.01709402]
13 [ 167.75757576  423.25541126]
14 [ 350.53571429  110.28571429]
0 [ 325.65  569.65]
1 [ 399.86666667  631.52121212]
2 [ 654.23423423  405.02702703]
3 [ 217.   436.5]
4 [ 532.92090395  347.48022599]
5 [ 269.64480874  564.73224044]
6 [ 524.6462585   591.57823129]
7 [ 304.3681592   520.56218905]
8 [  98.02857143  315.82857143]
9 [ 269.55555556  212.00653595]
10 [ 533.91812865  362.74853801]
11 [ 415.26923077   64.03846154]
12 [ 401.66666667   71.10077519]
13 [ 164.98067633  438.96618357]
14 [ 346.96153846   97.26923077]
0 [ 322.5952381   582.30952381]
1 [ 413.77586207  626.56896552]
2 [ 659.19736842  389.07894737]
3 [ 203.48717949  423.34871795]
4 [ 520.35680751  342.71361502]
5 [ 277.01724138  576.37931034]
6 [ 525.61187215  591.55707763]
7 [ 292.68055556  528.36111111]
8 [  89.5  330. ]
9 [ 281.53594771  224.58169935]
10 [ 519.91515152  359.84242424]
11 [ 408.21818182   65.28484848]
12 [ 417.98076923   64.28205128]
13 [ 164.08108108  454.36936937]
14 [ 340.45578231   89.31972789]
0 [ 315.37606838  594.2991453 ]
1 [ 429.0141844   630.53900709]
2 [ 666.0875  376.5875]
3 [ 195.47058824  407.70588235]
4 [ 513.46568627  339.5       ]
5 [ 283.70689655  591.        ]
6 [ 525.25821596  592.04225352]
7 [ 280.68544601  536.70892019]
8 [  78.26570048  342.25120773]
9 [ 293.15217391  238.08695652]
10 [ 514.85990338  350.78743961]
11 [ 405.09259259   61.25925926]
12 [ 416.66666667   64.18055556]
13 [ 161.41777778  467.80888889]
14 [ 336.46783626   82.53216374]
0 [ 306.2952381   603.80952381]
1 [ 439.47798742  640.08805031]
2 [ 673.66666667  374.28138528]
3 [ 192.5  392.5]
4 [ 496.5480226   337.39548023]
5 [ 293.4691358  592.5      ]
6 [ 524.55050505  591.95454545]
7 [ 269.78787879  541.07575758]
8 [  78.97435897  342.1965812 ]
9 [ 300.16666667  256.25      ]
10 [ 513.32275132  349.8994709 ]
11 [ 405.19774011   60.99435028]
12 [ 412.81560284   54.33333333]
13 [ 165.95897436  475.62564103]
14 [ 337.43888889   71.4       ]
