0 [ 245.5  616. ]
7 [ 296.66161616  565.68181818]
8 [ 203.14619883  675.28654971]
9 [ 215.59555556  412.20444444]
10 [ 536.84722222  313.2962963 ]
11 [ 237.29310345   98.76436782]
12 [ 145.30555556  165.73809524]
13 [ 240.26060606  535.43030303]
14 [  56.56666667  241.11111111]
0 [ 522.35714286  656.61904762]
1 [ 430.11515152  616.64848485]
2 [ 603.47342995  321.47342995]
3 [ 133.21078431  327.5       ]
4 [ 311.92090395  149.05649718]
5 [ 604.38235294  436.55882353]
6 [ 427.70707071  457.51515152]
7 [ 283.18181818  561.01515152]
8 [ 204.58333333  669.83333333]
9 [ 201.81094527  422.31840796]
10 [ 534.          299.83333333]
11 [ 225.62068966   88.12068966]
12 [ 134.54285714  176.27142857]
13 [ 249.59119497  524.82389937]
14 [  56.47297297  254.43243243]
0 [ 527.925  639.   ]
1 [ 432.39285714  615.57142857]
2 [ 602.25757576  321.87878788]
3 [ 131.82513661  314.10382514]
4 [ 317.19230769  152.68589744]
5 [ 608.55411255  434.57575758]
6 [ 419.82587065  435.53233831]
7 [ 269.86243386  556.16931217]
8 [ 204.44444444  665.94444444]
9 [ 185.77625571  428.84018265]
10 [ 533.81481481  284.02645503]
11 [ 207.73076923   92.3974359 ]
12 [ 119.77659574  189.        ]
13 [ 263.13793103  515.48850575]
14 [  51.65400844  263.4978903 ]
0 [ 544.26666667  631.54666667]
1 [ 435.01923077  615.69230769]
2 [ 590.06010929  330.1420765 ]
3 [ 129.72043011  302.12365591]
4 [ 317.02424242  152.55151515]
5 [ 604.265625  436.015625]
6 [ 410.86243386  414.32804233]
7 [ 259.39800995  552.67661692]
8 [ 203.16091954  665.5       ]
9 [ 168.72222222  430.25      ]
10 [ 538.04519774  271.15819209]
11 [ 196.01058201  105.23280423]
12 [ 102.86046512  203.12403101]
13 [ 276.58865248  508.60992908]
14 [  61.48095238  269.84285714]
0 [ 559.68686869  626.65656566]
1 [ 441.44848485  616.96969697]
2 [ 575.51515152  344.92424242]
3 [ 130.41176471  287.46568627]
4 [ 317.03703704  152.4382716 ]
5 [ 589.27419355  430.09677419]
6 [ 400.65625  394.25   ]
7 [ 254.32758621  542.60344828]
8 [ 203.31182796  665.62365591]
9 [ 152.79812207  431.17840376]
10 [ 545.14444444  258.96666667]
11 [ 182.14427861  119.57711443]
12 [  88.5875      221.18333333]
13 [ 289.89115646  505.60544218]
14 [  68.91983122  280.8185654 ]
0 [ 570.25438596  616.25438596]
1 [ 446.5480226   618.88700565]
2 [ 558.72043011  359.18817204]
3 [ 134.5483871   274.37096774]
4 [ 316.5  152.5]
5 [ 574.92424242  417.48484848]
6 [ 391.8030303   375.18181818]
7 [ 253.79432624  532.5177305 ]
8 [ 206.5         663.82758621]
9 [ 142.20930233  436.93023256]
10 [ 556.04848485  255.53333333]
11 [ 164.296875    133.19791667]
12 [  73.08943089  234.        ]
13 [ 293.87096774  498.44086022]
14 [  69.55128205  293.24358974]
0 [ 587.88505747  609.32183908]
1 [ 448.95833333  620.55952381]
2 [ 542.10582011  368.83068783]
3 [ 145.68518519  265.91358025]
4 [ 308.35416667  164.109375  ]
5 [ 565.09950249  401.02487562]
6 [ 383.05472637  355.23383085]
7 [ 260.09615385  523.11538462]
8 [ 213.68518519  652.33333333]
9 [ 133.1350211   432.56118143]
10 [ 568.85185185  251.87037037]
11 [ 143.25157233  137.40251572]
12 [  62.18930041  250.07407407]
13 [ 303.96551724  484.67241379]
14 [  64.13852814  301.73160173]
0 [ 600.94444444  608.38888889]
1 [ 453.76923077  625.5       ]
2 [ 523.28571429  376.14285714]
3 [ 158.5  262. ]
4 [ 294.51515152  179.92424242]
5 [ 561.93532338  388.06467662]
6 [ 380.60344828  333.86206897]
7 [ 269.42767296  511.71069182]
8 [ 221.47953216  636.07602339]
9 [ 126.24031008  420.74418605]
10 [ 578.44444444  248.46296296]
11 [ 130.54618474  151.51405622]
12 [  53.66666667  259.34166667]
13 [ 318.54166667  475.08333333]
14 [  58.44871795  309.76923077]
0 [ 615.15625  599.65625]
1 [ 459.63030303  636.58787879]
2 [ 506.27683616  380.93785311]
3 [ 168.85802469  266.71604938]
4 [ 277.03225806  188.37096774]
5 [ 561.56666667  374.76666667]
6 [ 381.27860697  311.5920398 ]
7 [ 278.62222222  499.2       ]
8 [ 229.7251462   623.15204678]
9 [ 119.39463602  407.31800766]
10 [ 583.72121212  242.86666667]
11 [ 110.83111111  161.85777778]
12 [  48.55144033  276.85596708]
13 [ 334.26666667  469.34666667]
14 [  50.44871795  319.41025641]
0 [ 628.5  596. ]
1 [ 462.66025641  647.65384615]
2 [ 492.60846561  386.75661376]
3 [ 181.07407407  275.68518519]
4 [ 259.57575758  197.97575758]
5 [ 553.25980392  367.67647059]
6 [ 384.72777778  290.16666667]
7 [ 288.94179894  487.56613757]
8 [ 237.97701149  608.68965517]
9 [ 114.4047619   394.16666667]
10 [ 589.44  237.86]
11 [ 100.56709957  179.00865801]
12 [  41.20675105  289.68776371]
13 [ 349.8   469.58]
14 [  42.77489177  325.06060606]
0 [ 620.45652174  589.34782609]
1 [ 456.5  656.5]
2 [ 476.76666667  390.60555556]
3 [ 188.68553459  286.35220126]
4 [ 241.44827586  206.24137931]
5 [ 544.12560386  359.09661836]
6 [ 388.5         271.93548387]
7 [ 302.  483.]
8 [ 248.8974359   594.74358974]
9 [ 112.77083333  377.5       ]
10 [ 589.46428571  238.85714286]
11 [  86.19409283  193.78902954]
12 [  50.02116402  289.65608466]
13 [ 364.8   472.22]
14 [  41.44736842  336.34210526]
0 [ 616.22962963  572.5037037 ]
1 [ 444.  666.]
2 [ 462.32323232  388.81818182]
3 [ 189.10582011  300.39153439]
4 [ 223.21428571  207.60119048]
5 [ 543.5         346.83809524]
6 [ 387.62365591  258.03225806]
7 [ 317.07407407  478.24074074]
8 [ 260.0942029   588.45652174]
9 [ 114.18431373  360.86666667]
10 [ 592.12785388  249.14155251]
11 [  68.99086758  204.75799087]
12 [  69.08717949  297.35897436]
13 [ 379.  479.]
14 [  35.20576132  348.02880658]
0 [ 622.65925926  555.88148148]
1 [ 427.43434343  672.91919192]
2 [ 451.8042328   378.61375661]
3 [ 181.56410256  307.91025641]
4 [ 204.26484018  201.07305936]
5 [ 543.63387978  333.55191257]
6 [ 396.36666667  250.33333333]
7 [ 330.79310345  471.46551724]
8 [ 271.33333333  597.09259259]
9 [ 116.76078431  344.30196078]
10 [ 600.07762557  264.14611872]
11 [  66.01606426  214.51004016]
12 [  82.48717949  310.30769231]
13 [ 388.12254902  488.76470588]
14 [  37.04878049  358.06504065]
0 [ 636.51937984  545.34108527]
1 [ 409.1875   676.03125]
2 [ 439.657277    368.18779343]
3 [ 173.32489451  311.23628692]
4 [ 186.19354839  193.46774194]
5 [ 544.61979167  317.75      ]
6 [ 408.80357143  248.83928571]
7 [ 350.86309524  468.05952381]
8 [ 285.74842767  607.34591195]
9 [ 129.59375  334.8125 ]
10 [ 609.          280.74358974]
11 [  64.67777778  234.5       ]
12 [  87.26136364  328.39772727]
13 [ 400.1827957   498.96236559]
14 [  38.23628692  371.07172996]
0 [ 646.5  536.5]
1 [ 389.95        676.16666667]
2 [ 431.24338624  353.82010582]
3 [ 164.16888889  305.35111111]
4 [ 175.22972973  186.7027027 ]
5 [ 540.54726368  306.93532338]
6 [ 425.23899371  245.64150943]
7 [ 370.87581699  469.45751634]
8 [ 297.63703704  604.73333333]
9 [ 145.33830846  330.24875622]
10 [ 616.96052632  296.76315789]
11 [  56.70464135  254.02953586]
12 [  77.5042735   344.43589744]
13 [ 410.92307692  502.30769231]
14 [  36.21544715  381.56910569]
0 [ 654.02  527.12]
1 [ 368.65   671.275]
2 [ 429.09375  337.46875]
3 [ 157.34703196  298.25570776]
4 [ 172.90540541  170.21621622]
5 [ 536.51741294  293.12437811]
6 [ 443.70068027  245.58503401]
7 [ 389.58201058  470.02645503]
8 [ 315.16352201  608.44025157]
9 [ 157.38383838  336.97979798]
10 [ 621.26126126  310.48648649]
11 [  43.48826291  268.10798122]
12 [  67.42682927  356.96747967]
13 [ 422.32142857  507.60714286]
14 [  43.54824561  389.65789474]
0 [ 661.25185185  511.60740741]
1 [ 353.04166667  658.16666667]
2 [ 433.46969697  324.6969697 ]
3 [ 153.47058824  285.70588235]
4 [ 173.5982906  165.6025641]
5 [ 530.78125  279.875  ]
6 [ 463.38461538  248.46153846]
7 [ 407.97660819  473.97076023]
8 [ 330.06010929  617.8579235 ]
9 [ 167.59375     350.93229167]
10 [ 623.45410628  324.77294686]
11 [  42.11904762  276.73809524]
12 [  65.32510288  374.9218107 ]
13 [ 432.55        513.78333333]
14 [  49.55263158  400.60526316]
0 [ 673.56296296  500.5037037 ]
1 [ 339.63043478  644.08695652]
2 [ 438.96410256  310.9025641 ]
3 [ 152.60555556  271.76666667]
4 [ 173.07511737  167.12206573]
5 [ 527.22404372  267.93989071]
6 [ 479.88700565  253.29378531]
7 [ 421.82352941  481.44117647]
8 [ 342.64  622.26]
9 [ 174.31944444  366.81481481]
10 [ 624.42380952  339.21428571]
11 [  43.98467433  294.84291188]
12 [  60.98431373  393.36862745]
13 [ 443.27011494  524.96551724]
14 [  53.97560976  412.21138211]
0 [ 684.76190476  490.02380952]
1 [ 324.5  632.5]
2 [ 447.53439153  297.55026455]
3 [ 152.53571429  262.14285714]
4 [ 174.43333333  169.925     ]
5 [ 525.54726368  262.76616915]
6 [ 493.71428571  257.46428571]
7 [ 430.66666667  489.36666667]
8 [ 358.37908497  626.81699346]
9 [ 177.46560847  382.21693122]
10 [ 624.98648649  353.86486486]
11 [  38.54901961  312.06666667]
12 [  58.24418605  408.6744186 ]
13 [ 448.89830508  536.76836158]
14 [  52.09302326  422.52325581]
0 [ 685.79411765  488.5       ]
1 [ 313.39869281  616.20915033]
2 [ 455.89054726  288.00995025]
3 [ 148.83333333  253.87878788]
4 [ 175.19774011  171.14124294]
5 [ 525.58469945  263.13661202]
6 [ 504.2         261.76666667]
7 [ 440.5408805   490.83647799]
8 [ 374.83030303  635.46060606]
9 [ 169.48858447  398.07762557]
10 [ 619.51028807  368.70781893]
11 [  28.8649789   327.90295359]
12 [  57.13919414  421.25641026]
13 [ 453.29292929  549.48484848]
14 [  48.42745098  430.90196078]
0 [ 683.08  502.88]
1 [ 313.5  596.5]
2 [ 469.24137931  278.5       ]
3 [ 147.90277778  252.46759259]
4 [ 175.39766082  172.42690058]
5 [ 525.53703704  262.59259259]
6 [ 507.375   274.4375]
7 [ 452.97175141  493.72316384]
8 [ 388.03571429  645.67857143]
9 [ 168.5         410.16190476]
10 [ 612.92444444  381.83111111]
11 [  26.68421053  337.13157895]
12 [  58.925  439.875]
13 [ 455.31547619  563.07142857]
14 [  46.05263158  437.36842105]
0 [ 685.31007752  523.96899225]
1 [ 317.40229885  579.31034483]
2 [ 481.22564103  273.4974359 ]
3 [ 146.27272727  255.86363636]
4 [ 177.31818182  187.45454545]
5 [ 524.44973545  258.03703704]
6 [ 511.29378531  288.48022599]
7 [ 468.43715847  498.73224044]
8 [ 401.2345679   657.63580247]
9 [ 164.34703196  423.56621005]
10 [ 608.03111111  393.59555556]
11 [  35.13409962  348.83141762]
12 [  53.33333333  456.72857143]
13 [ 452.75268817  575.11290323]
14 [  46.05263158  437.36842105]
0 [ 682.64285714  538.45238095]
1 [ 325.05  564.75]
2 [ 489.42328042  278.68783069]
3 [ 136.30452675  253.59670782]
4 [ 175.80092593  203.61111111]
5 [ 526.32258065  254.88709677]
6 [ 512.59375  304.625  ]
7 [ 479.91005291  505.37566138]
8 [ 409.23129252  672.89115646]
9 [ 154.83111111  437.65777778]
10 [ 601.55714286  403.3       ]
11 [  40.13636364  363.86363636]
12 [  57.86222222  465.31111111]
13 [ 446.57861635  585.52201258]
14 [  46.74537037  448.02777778]
0 [ 669.65765766  533.77477477]
1 [ 336.52287582  556.4379085 ]
2 [ 496.93607306  284.66210046]
3 [ 134.61111111  251.32407407]
4 [ 173.05263158  224.36842105]
5 [ 530.53763441  260.06451613]
6 [ 503.2259887   313.83615819]
7 [ 489.86666667  516.74358974]
8 [ 419.73076923  682.23076923]
9 [ 146.34136546  451.78714859]
10 [ 592.12560386  412.11111111]
11 [  42.59090909  380.02272727]
12 [  66.54761905  480.51190476]
13 [ 436.42962963  588.94074074]
14 [  48.69791667  449.171875  ]
0 [ 650.2688172  526.6344086]
1 [ 352.76785714  562.22619048]
2 [ 510.25        287.23888889]
3 [ 137.00444444  252.36      ]
4 [ 164.6969697   233.22510823]
5 [ 538.46666667  267.3       ]
6 [ 491.22564103  327.65128205]
7 [ 498.54589372  527.29951691]
8 [ 420.74814815  688.97037037]
9 [ 141.78538813  467.96803653]
10 [ 579.49425287  419.20114943]
11 [  40.86046512  394.38372093]
12 [  66.72995781  502.02953586]
13 [ 427.83333333  594.45833333]
14 [  57.73092369  459.45381526]
0 [ 636.21367521  516.96581197]
1 [ 365.04371585  573.35519126]
2 [ 523.359375  292.890625]
3 [ 133.94509804  257.83137255]
4 [ 159.657277    234.44131455]
5 [ 550.36318408  276.72139303]
6 [ 479.56613757  343.43386243]
7 [ 501.25806452  541.        ]
8 [ 406.  693.]
9 [ 132.92105263  482.91666667]
10 [ 565.56790123  419.59876543]
11 [  39.78861789  405.63414634]
12 [  64.525       516.11666667]
13 [ 418.13636364  596.12878788]
14 [  59.78861789  480.49593496]
0 [ 622.73913043  505.52898551]
1 [ 375.20555556  587.95      ]
2 [ 536.3236715   301.89371981]
3 [ 123.          266.80487805]
4 [ 159.72444444  234.63555556]
5 [ 562.32352941  289.45588235]
6 [ 465.9516129   356.22580645]
7 [ 499.32275132  552.1005291 ]
8 [ 389.01149425  697.2183908 ]
9 [ 123.29385965  496.94736842]
10 [ 552.11111111  416.98148148]
11 [  38.72995781  416.02109705]
12 [  62.96428571  529.55952381]
13 [ 407.37037037  590.82716049]
14 [  55.74122807  501.39473684]
0 [ 614.27272727  495.13636364]
1 [ 381.45502646  602.97883598]
2 [ 547.38974359  312.71282051]
3 [ 109.29468599  265.29468599]
4 [ 149.16129032  242.43548387]
5 [ 569.59487179  308.45641026]
6 [ 452.1969697   370.24242424]
7 [ 492.68333333  564.98333333]
8 [ 372.82666667  696.93333333]
9 [ 125.5         510.16190476]
10 [ 540.   412.5]
11 [  35.4047619   422.39285714]
12 [  78.64444444  534.25      ]
13 [ 407.37037037  590.82716049]
14 [  59.9039548   514.39548023]
0 [ 610.87037037  479.88888889]
1 [ 388.98275862  618.20689655]
2 [ 551.78743961  318.0821256 ]
3 [  95.05263158  266.03947368]
4 [ 131.54228856  249.17412935]
5 [ 571.5  328.5]
6 [ 439.56284153  381.69398907]
7 [ 484.20765027  575.48087432]
8 [ 356.94444444  691.11111111]
9 [ 123.47186147  526.07359307]
10 [ 526.95151515  406.55757576]
11 [  34.91575092  423.94871795]
12 [  94.55555556  541.67948718]
13 [ 407.5952381   587.82142857]
14 [  75.61375661  520.81481481]
0 [ 612.60130719  465.79084967]
1 [ 390.84482759  632.44827586]
2 [ 551.9468599   317.83574879]
3 [  83.84888889  273.55555556]
4 [ 117.28070175  246.60526316]
5 [ 568.61428571  348.85714286]
6 [ 423.95628415  390.93989071]
7 [ 480.75268817  586.61290323]
8 [ 340.4496124   685.62015504]
9 [ 129.64021164  535.56084656]
10 [ 521.17241379  408.12068966]
11 [  33.85654008  426.80168776]
12 [ 102.68181818  558.48484848]
13 [ 408.98275862  574.79310345]
14 [  91.35772358  533.29268293]
0 [ 603.41025641  452.80769231]
1 [ 397.38011696  643.21637427]
2 [ 551.995671    317.36796537]
3 [  80.53815261  282.24497992]
4 [ 112.11538462  234.64102564]
5 [ 565.5  367.5]
6 [ 408.02614379  388.91503268]
7 [ 475.61538462  593.46153846]
8 [ 324.8018018   681.00900901]
9 [ 137.81034483  543.51724138]
10 [ 514.59615385  414.30769231]
11 [  26.33823529  437.16176471]
12 [ 106.67932489  575.7257384 ]
13 [ 413.63793103  554.31034483]
14 [  99.93574297  551.09236948]
0 [ 592.75213675  442.47863248]
1 [ 403.27777778  658.62962963]
2 [ 551.65  315.3 ]
3 [  77.27350427  297.51282051]
4 [ 109.218107    227.51028807]
5 [ 554.36666667  383.38571429]
6 [ 389.17857143  384.60714286]
7 [ 464.78014184  591.86524823]
8 [ 314.9   673.68]
9 [ 144.17261905  552.32142857]
10 [ 500.10344828  414.53448276]
11 [  27.21940928  431.8185654 ]
12 [ 106.04761905  590.51515152]
13 [ 418.26900585  533.39181287]
14 [  98.92640693  567.95238095]
0 [ 579.15909091  436.14393939]
1 [ 405.64814815  672.27777778]
2 [ 551.74074074  315.64814815]
3 [  70.91472868  311.8372093 ]
4 [ 108.98941799  229.43386243]
5 [ 538.05882353  391.41176471]
6 [ 372.97849462  378.59677419]
7 [ 451.07142857  586.14285714]
8 [ 303.28368794  662.05673759]
9 [ 145.37106918  550.81132075]
10 [ 488.97979798  407.3030303 ]
11 [  43.36936937  422.35135135]
12 [ 118.17370892  598.00469484]
13 [ 425.          515.23333333]
14 [ 112.20138889  579.3125    ]
0 [ 567.03846154  428.46153846]
1 [ 414.31818182  681.29545455]
2 [ 553.21393035  313.31840796]
3 [  69.54022989  323.        ]
4 [ 104.73593074  235.89177489]
5 [ 520.  395.]
6 [ 358.66060606  376.59393939]
7 [ 437.98830409  581.04093567]
8 [ 295.28205128  646.90384615]
9 [ 156.93209877  545.14814815]
10 [ 479.06467662  394.68159204]
11 [  63.78205128  409.8974359 ]
12 [ 129.85024155  611.51207729]
13 [ 434.9         497.02222222]
14 [ 127.41203704  591.72222222]
0 [ 557.40136054  417.60544218]
1 [ 417.14728682  694.87596899]
2 [ 562.01257862  312.28930818]
3 [  78.93627451  330.75      ]
4 [  89.33333333  239.88557214]
5 [ 501.56410256  392.75897436]
6 [ 343.42857143  373.07142857]
7 [ 424.74853801  578.37426901]
8 [ 289.41530055  631.13661202]
9 [ 177.14814815  546.14814815]
10 [ 472.56060606  381.94444444]
11 [  84.15458937  403.0531401 ]
12 [ 140.82113821  616.59349593]
13 [ 447.91666667  479.31666667]
14 [ 130.29951691  607.93719807]
0 [ 553.66013072  402.97385621]
1 [ 417.81300813  692.83739837]
2 [ 563.68306011  312.0273224 ]
3 [  86.06103286  345.31455399]
4 [  77.66255144  236.59670782]
5 [ 485.85310734  389.04519774]
6 [ 325.59375  366.5625 ]
7 [ 419.11515152  572.06666667]
8 [ 296.72043011  617.74193548]
9 [ 195.05847953  556.23976608]
10 [ 471.65641026  371.01025641]
11 [ 104.53439153  402.48677249]
12 [ 156.23611111  616.14583333]
13 [ 461.67741935  463.14516129]
14 [ 129.85784314  611.26470588]
0 [ 549.06504065  389.42276423]
1 [ 420.19230769  688.07692308]
2 [ 563.03225806  311.72043011]
3 [  85.30593607  357.28310502]
4 [  69.35897436  247.62393162]
5 [ 476.24867725  378.97354497]
6 [ 310.01612903  359.06451613]
7 [ 414.7251462   558.92397661]
8 [ 306.5  603. ]
9 [ 203.75     571.96875]
10 [ 477.07179487  357.77948718]
11 [ 120.44761905  412.05238095]
12 [ 171.24293785  621.49717514]
13 [ 476.84615385  450.46153846]
14 [ 139.09039548  622.23163842]
0 [ 547.19565217  377.26086957]
1 [ 419.23655914  687.69892473]
2 [ 562.65608466  311.61904762]
3 [  82.56709957  371.00865801]
4 [  60.          262.37804878]
5 [ 462.21468927  376.53107345]
6 [ 293.63387978  352.54644809]
7 [ 410.78142077  542.06010929]
8 [ 319.81410256  592.16025641]
9 [ 213.88888889  583.06535948]
10 [ 485.5         345.26666667]
11 [ 131.84722222  421.86111111]
12 [ 177.0913242  633.7716895]
13 [ 493.51851852  439.05555556]
14 [ 149.82352941  637.39705882]
0 [ 546.53846154  365.11538462]
1 [ 420.86324786  683.44444444]
2 [ 562.19444444  311.37037037]
3 [  80.44736842  381.34210526]
4 [  60.2195122   265.42682927]
5 [ 445.04848485  370.68484848]
6 [ 278.99033816  346.59903382]
7 [ 414.11827957  531.38709677]
8 [ 335.0952381   591.50340136]
9 [ 227.67295597  587.89308176]
10 [ 492.875  334.5  ]
11 [ 135.35897436  427.80512821]
12 [ 189.13636364  638.9469697 ]
13 [ 512.38095238  430.17687075]
14 [ 168.63157895  638.38596491]
15 [  72.06666667  271.76190476]
0 [ 550.03418803  360.90598291]
1 [ 418.07207207  666.65765766]
2 [ 562.29411765  311.13235294]
3 [  83.89705882  392.74019608]
4 [  72.06666667  271.76190476]
5 [ 429.62433862  362.1957672 ]
6 [ 264.33789954  341.92237443]
7 [ 408.92307692  519.11538462]
8 [ 347.16384181  598.63276836]
9 [ 240.70760234  600.16959064]
10 [ 501.51572327  325.72327044]
11 [ 133.52910053  429.96296296]
12 [ 205.33333333  643.88617886]
13 [ 531.81560284  426.73758865]
14 [ 187.94308943  642.17886179]
15 [ 181.5  640. ]
0 [ 561.43262411  347.56737589]
1 [ 427.08  657.58]
2 [ 562.29411765  311.13235294]
3 [  82.875   406.1875]
4 [  85.63786008  286.33744856]
5 [ 417.4         347.41666667]
6 [ 258.42723005  331.76525822]
7 [ 405.66666667  505.85310734]
8 [ 352.53030303  612.43434343]
9 [ 248.95833333  612.25      ]
10 [ 512.07650273  318.44808743]
11 [ 133.54358974  430.63589744]
12 [ 218.2705314   653.75362319]
13 [ 548.89937107  427.35220126]
14 [ 206.29166667  648.67708333]
15 [ 181.5  640. ]
0 [ 570.73484848  337.86363636]
1 [ 437.75        642.11538462]
2 [ 562.25821596  311.06103286]
3 [  89.94179894  416.74074074]
4 [  88.58666667  304.84444444]
5 [ 406.45273632  334.84577114]
6 [ 250.17840376  320.68544601]
7 [ 406.61375661  488.29100529]
8 [ 355.08187135  624.18128655]
9 [ 264.4375      615.66666667]
10 [ 520.4863388   311.18579235]
11 [ 133.5  430.5]
12 [ 231.57711443  664.46766169]
13 [ 560.92039801  434.43781095]
14 [ 215.44632768  657.64971751]
15 [ 181.5  640. ]
0 [ 569.14166667  326.7       ]
1 [ 451.3537415   626.33333333]
2 [ 562.07511737  310.99061033]
3 [  94.58757062  429.31638418]
4 [  82.11646586  315.61044177]
5 [ 396.48087432  319.89617486]
6 [ 245.38624339  304.29100529]
7 [ 409.14124294  469.26553672]
8 [ 363.37948718  630.80512821]
9 [ 278.16959064  626.70760234]
10 [ 531.46258503  305.03401361]
11 [ 133.72083333  430.4375    ]
12 [ 241.14689266  677.61581921]
13 [ 569.59090909  444.78787879]
14 [ 228.   668.5]
15 [ 181.5  640. ]
0 [ 567.78472222  321.33333333]
1 [ 469.44  613.5 ]
2 [ 562.07511737  310.99061033]
3 [  92.35648148  441.66666667]
4 [  78.85470085  322.84615385]
5 [ 387.26470588  305.70588235]
6 [ 240.47058824  284.26470588]
7 [ 412.62962963  450.43915344]
8 [ 368.77987421  641.89937107]
9 [ 286.5         642.11290323]
10 [ 544.79166667  303.38888889]
11 [ 133.8875  430.3875]
12 [ 246.9516129   689.51612903]
13 [ 575.18055556  457.69444444]
14 [ 242.93181818  675.77272727]
15 [ 181.5  640. ]
0 [ 566.91666667  320.08333333]
1 [ 487.66013072  602.2875817 ]
2 [ 555.75   302.625]
3 [  91.46551724  454.37931034]
4 [  78.13675214  340.94871795]
5 [ 384.56666667  289.76666667]
6 [ 238.5  265.5]
7 [ 420.79487179  435.98974359]
8 [ 369.55151515  653.86060606]
9 [ 296.21481481  655.76296296]
10 [ 575.   308.5]
11 [ 134.08571429  430.33333333]
12 [ 258.0483871   700.48387097]
13 [ 572.74479167  472.125     ]
14 [ 252.9122807  687.4619883]
15 [ 181.5  640. ]
0 [ 564.34188034  315.01709402]
1 [ 506.18439716  595.54609929]
2 [ 563.          302.94444444]
3 [  95.92090395  465.4519774 ]
4 [  65.66666667  354.95945946]
5 [ 381.04678363  281.64327485]
6 [ 238.34895833  249.9375    ]
7 [ 433.64021164  426.67724868]
8 [ 366.04320988  663.05555556]
9 [ 304.42857143  661.39285714]
10 [ 577.47222222  308.13888889]
11 [ 134.1025641   430.24102564]
12 [ 262.90909091  703.31818182]
13 [ 567.21875  484.46875]
14 [ 261.26923077  691.76923077]
15 [ 181.5  640. ]
0 [ 567.52777778  308.47222222]
1 [ 523.66060606  599.88484848]
2 [ 574.44444444  299.42592593]
3 [ 105.11111111  474.37426901]
4 [  65.5  368. ]
5 [ 369.16666667  281.6       ]
6 [ 248.57711443  238.53233831]
7 [ 448.40437158  421.49726776]
8 [ 354.78294574  662.17829457]
9 [ 314.96598639  673.01360544]
10 [ 576.76100629  313.4591195 ]
11 [ 134.06756757  430.24324324]
12 [ 279.92857143  705.42857143]
13 [ 558.56896552  497.48275862]
14 [ 269.08527132  692.4496124 ]
15 [ 181.5  640. ]
0 [ 573.29333333  302.97333333]
1 [ 531.80874317  608.33879781]
2 [ 581.9468599   301.06280193]
3 [ 109.5  487. ]
4 [  70.82397004  385.19475655]
5 [ 356.23333333  282.93888889]
6 [ 264.06010929  227.4863388 ]
7 [ 465.6827957   414.79032258]
8 [ 345.21768707  665.01360544]
9 [ 329.93333333  677.7047619 ]
10 [ 556.51851852  326.7037037 ]
11 [ 134.23004695  430.23474178]
12 [ 301.82666667  703.93333333]
13 [ 549.   508.5]
14 [ 273.07619048  692.92380952]
15 [ 181.5  640. ]
0 [ 580.5  307.5]
1 [ 533.1005291   613.83068783]
2 [ 588.          317.91666667]
3 [ 108.85388128  500.99543379]
4 [  66.47619048  401.85714286]
5 [ 343.03763441  275.83870968]
6 [ 278.43333333  217.3       ]
7 [ 483.32240437  409.07650273]
8 [ 338.55769231  671.75      ]
9 [ 347.90990991  681.81981982]
10 [ 534.86206897  323.77586207]
11 [ 133.52380952  430.15151515]
12 [ 319.  708.]
13 [ 545.53225806  518.77419355]
14 [ 279.5  691.5]
15 [ 181.5  640. ]
0 [ 585.00793651  330.21164021]
1 [ 529.97484277  611.02515723]
2 [ 519.171875  305.421875]
3 [ 105.20634921  507.86904762]
4 [  55.05714286  412.78095238]
5 [ 328.46783626  265.86549708]
6 [ 295.25925926  209.82098765]
7 [ 498.88359788  403.18518519]
8 [ 335.25        672.44230769]
9 [ 363.91358025  684.32098765]
10 [ 534.16666667  531.27083333]
11 [ 129.07692308  426.37606838]
12 [ 337.33333333  707.05747126]
13 [ 290.65185185  700.48148148]
14 [ 279.5  691.5]
15 [ 181.5  640. ]
0 [ 579.85858586  346.04545455]
1 [ 530.31666667  602.65      ]
2 [ 497.82513661  298.09289617]
3 [  99.65400844  504.57383966]
4 [  54.37698413  419.83333333]
5 [ 316.390625  257.796875]
6 [ 308.04678363  199.38011696]
7 [ 502.29411765  401.        ]
8 [ 341.55769231  672.61538462]
9 [ 379.71875  685.5    ]
10 [ 355.2  711.2]
11 [ 121.80416667  419.7125    ]
12 [ 290.25    702.5625]
13 [ 522.4496124   538.37984496]
14 [ 279.5  691.5]
15 [ 181.5  640. ]
0 [ 570.62962963  364.85185185]
1 [ 538.75757576  591.72121212]
2 [ 476.5  288. ]
3 [  98.5         495.33854167]
4 [  55.0464135   435.27004219]
5 [ 302.39153439  255.2010582 ]
6 [ 322.88888889  196.95321637]
7 [ 504.33783784  405.68918919]
8 [ 356.40136054  677.21088435]
9 [ 393.59090909  689.18181818]
10 [ 283.96581197  692.8034188 ]
11 [ 115.01646091  413.23045267]
12 [ 364.47058824  712.67647059]
13 [ 576.47712418  352.59477124]
14 [ 507.39333333  543.84      ]
15 [ 181.5  640. ]
0 [ 564.85185185  370.74643875]
1 [ 554.27683616  585.64971751]
2 [ 458.56756757  272.11261261]
3 [ 101.72677596  478.66666667]
4 [  50.8745098   449.25098039]
5 [ 287.46766169  248.60199005]
6 [ 340.08695652  199.24637681]
7 [ 505.6713615   415.70892019]
8 [ 362.02  680.84]
9 [ 404.5959596   681.65656566]
10 [ 267.67901235  682.7654321 ]
